Compuestos,Tipo,kcl,koh,logkCl,logkOH
CH2FCOCH3,cetona,8.20E-13,2.10E-13,-12.08618615,-12.67778071
CF3COCH3,cetona,8.00E-15,6.90E-15,-14.09691001,-14.16115091
CF3CH2OH,alcohol,6.48E-13,1.02E-13,-12.18842499,-12.99139983
CF3CH2CH2OH,alcohol,2.24E-11,1.08E-12,-10.64975198,-11.96657624
CH2FCH2OH,alcohol,1.96E-11,1.42E-12,-10.70774393,-11.84771166
CHF2CH2OH,alcohol,2.95E-12,4.51E-13,-11.53017798,-12.34582346
CF3CH2OH,alcohol,6.30E-13,1.23E-13,-12.20065945,-12.91009489
CF3CF2CH2OH,alcohol,6.50E-13,1.02E-13,-12.18708664,-12.99139983
CF3CH2CHO,aldehido,1.55E-11,2.59E-12,-10.8096683,-11.58670024
CF3(CH2)2CHO,aldehido,3.39E-11,1.28E-11,-10.4698003,-10.89279003
CF3CFHCF2OCF3,eter,4.09E-17,1.43E-15,-16.38827669,-14.84466396
CF3CFHCF2OCF2H,eter,6.89E-17,1.79E-15,-16.16178078,-14.74714697
CH3F,alcano,3.47E-13,2.01E-14,-12.45967053,-13.69680394
CF3CFHCF3,alcano,4.50E-17,1.33E-15,-16.34678749,-14.87614836
CF3OCF2CF2H,eter,2.70E-16,2.26E-15,-15.56863624,-14.64589156
CF3OC(CF3)2H,eter,1.58E-18,3.26E-16,-17.80134291,-15.4867824
CF3C(O)OCH3,ester,9.00E-14,4.97E-14,-13.04575749,-13.30364361
CF3C(O)OCH2CH3,ester,1.79E-12,2.64E-13,-11.74714697,-12.57839607
CF2HC(O)OCH3,ester,2.03E-13,1.48E-13,-12.69250396,-12.82973828
CF3C(O)OCH2CF3,ester,1.18E-15,1.05E-15,-14.92811799,-14.9788107
CH3CH3CH2C(O)OCH2CF3,ester,4.70E-11,1.30E-12,-10.32790214,-11.88605665
CH3CH2CH2C(O)C(O)CH3,ester,8.80E-11,3.60E-12,-10.05551733,-11.4436975
CH3C(O)C(O)CH3,cetona,4.92E-13,2.47E-13,-12.3080349,-12.60730305
CH3CH2C(O)CH(CH3)2,cetona,1.07E-10,2.87E-12,-9.970616222,-11.5421181
CH3C(O)CH2CH(CH3)2,cetona,1.21E-10,1.21E-11,-9.91721463,-10.91721463
CH3C(O)CH(CH3)CH2CH3,cetona,1.35E-10,1.03E-11,-9.869666232,-10.98716278
CH3C(O)CH(OH)CH3,cetona,4.90E-11,9.75E-12,-10.30980392,-11.0111832
CH3C(O)CH2CH2OH,cetona,1.45E-10,1.45E-11,-9.838631998,-10.83929539
CH2=CHC(O)OCH2CF3,ester,2.41E-10,1.25E-11,-9.617982957,-10.90308999
CH2=CHC(O)OCH(CF3)2,ester,1.39E-10,1.41E-11,-9.8569852,-10.85078089
CH2=C(CH3)C(O)OCH2CF3,ester,2.22E-10,2.54E-11,-9.653647026,-10.59516628
CH2=C(CH3)C(O)OCH(CF3)2,ester,2.44E-10,1.65E-11,-9.612610174,-10.78251606
OHCH2CH=CH2,alcohol,1.72E-10,5.45E-11,-9.764471553,-10.2636035
CH3CH=CHC(O)CH2CH3,cetona,3.00E-10,9.04E-11,-9.522878745,-10.04383157
CH3C(O)CH2CH2CH=CH2,cetona,3.15E-10,5.18E-11,-9.501689446,-10.28567024
CH3CH=CHC(O)CH3,cetona,2.53E-10,7.22E-11,-9.596879479,-10.1414628
CH2=CHCN,hidrocarburo,1.11E-10,1.11E-11,-9.954677021,-10.95467702
CH2=CHCH3,hidrocarburo,2.45E-10,3.10E-11,-9.610833916,-10.50863831
CH2=CHOCH2CH3,eter,3.30E-10,7.30E-11,-9.48148606,-10.13667714
CH2=CH(O)H,alcohol,2.10E-10,1.96E-11,-9.677780705,-10.70774393
CH2=CH(O)CH3,eter,2.20E-10,1.85E-11,-9.657577319,-10.73282827
CH2=CH(O)OH,acetato,3.99E-10,1.75E-11,-9.399027104,-10.75696195
CH2=CH(O)OCH3,acetato,2.04E-10,1.30E-11,-9.690369833,-10.88605665
CH2=CHC(O)O(CH2)3CH3,acrilato,2.50E-10,1.80E-11,-9.602059991,-10.74472749
CH2=C(CH3)C(O)OCH3,acrilato,2.82E-10,4.15E-11,-9.549750892,-10.3819519
CH2=C(CH3)C(O)O(CH2)3CH3,acrilato,3.60E-10,7.08E-11,-9.443697499,-10.14996674
CH2=CHCH2OC(O)CH3,acrilato,1.30E-10,3.06E-11,-9.886056648,-10.51427857
CH2=CHOC(O)CH3,acritalo,2.68E-10,2.48E-11,-9.571865206,-10.60554832
CH2=CH2,hidrocarburo,1.00E-10,7.80E-12,-10,-11.1079054
CH2=CHCl,hidrocarburo,1.17E-10,8.37E-12,-9.931814138,-11.07727454
CH3CH=CHCH3,hidrocarburo,3.76E-10,5.48E-11,-9.424812155,-10.26121944
CH2=CHCH2CH2CH2CH2CH3,hidrocarburo,4.04E-10,3.86E-11,-9.393618635,-10.4134127
CH3CH=CHCH2CH2CH2CH3,hidrocarburo,4.47E-10,8.51E-11,-9.349692477,-10.07007044
CH3C(CH3)=CH2,hidrocarburo,3.40E-10,5.47E-11,-9.468521083,-10.26201267
CH2=C(CH3)CH2CH3,hidrocarburo,3.58E-10,6.37E-11,-9.446116973,-10.19586057
CH3CH2C(C2H5)=CH2,hidrocarburo,3.89E-10,5.60E-11,-9.410050399,-10.25181197
C5H8,insaturado-ciclico,3.39E-10,6.39E-11,-9.469800302,-10.19449914
C6H10,insaturado-ciclico,3.97E-10,6.43E-11,-9.401209493,-10.19178903
C7H12,insaturado-ciclico,5.46E-10,7.84E-11,-9.262807357,-10.10568394
C8H14,insaturado-ciclico,4.70E-10,5.16E-11,-9.327902142,-10.2873503
C10H16,insaturado-ciclico,3.30E-10,5.33E-11,-9.48148606,-10.27327279
C10H16(?-Pinene),insaturado-ciclico,5.30E-10,9.35E-11,-9.27572413,-10.02918839
